"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","29-Apr-2020","        179.45","        180.50","        182.90","        179.65","        182.05","        182.15","        181.44","   21461158","          3893831952.55","     131121"
"ITC","EQ","30-Apr-2020","        182.15","        184.90","        184.90","        180.45","        181.05","        182.05","        182.77","   30169126","          5514079226.65","     211892"
"ITC","EQ","04-May-2020","        182.05","        181.75","        181.75","        170.65","        173.50","        174.05","        174.80","   30298058","          5296023986.75","     200386"
"ITC","EQ","05-May-2020","        174.05","        175.00","        177.45","        172.00","        174.00","        173.90","        175.30","   17709577","          3104426107.75","     103113"
"ITC","EQ","06-May-2020","        173.90","        171.40","        171.40","        160.50","        164.95","        163.90","        163.53","   65586753","         10725120327.55","     435677"
"ITC","EQ","07-May-2020","        163.90","        164.00","        165.85","        160.50","        161.15","        161.00","        162.69","   24249898","          3945146899.55","     188468"
"ITC","EQ","08-May-2020","        161.00","        163.95","        164.15","        157.10","        158.50","        158.25","        159.67","   25307551","          4040860526.35","     228559"
"ITC","EQ","11-May-2020","        158.25","        160.00","        163.50","        158.00","        159.25","        158.45","        160.97","   18095693","          2912847374.20","     220940"
"ITC","EQ","12-May-2020","        158.45","        158.45","        165.90","        157.50","        165.50","        165.05","        161.32","   21387983","          3450209830.50","     166733"
"ITC","EQ","13-May-2020","        165.05","        173.40","        173.60","        164.50","        165.70","        165.40","        167.58","   20018552","          3354698652.35","     139320"
"ITC","EQ","14-May-2020","        165.40","        164.50","        168.25","        161.95","        164.25","        163.80","        164.78","   14949993","          2463446939.65","     126962"
"ITC","EQ","15-May-2020","        163.80","        162.20","        165.50","        161.15","        164.40","        164.65","        163.18","   14950688","          2439597397.35","     100036"
"ITC","EQ","18-May-2020","        164.65","        166.00","        167.30","        163.15","        164.80","        164.75","        165.59","   20802365","          3444644630.05","     164646"
"ITC","EQ","19-May-2020","        164.75","        166.50","        171.65","        165.10","        170.75","        170.75","        168.99","   20142194","          3403852686.15","     152331"
"ITC","EQ","20-May-2020","        170.75","        171.95","        177.00","        171.00","        175.70","        175.75","        175.24","   25320952","          4437243049.85","     191598"
"ITC","EQ","21-May-2020","        175.75","        175.60","        190.45","        172.65","        188.20","        188.95","        184.33","   58382988","         10761507970.95","     302533"
"ITC","EQ","22-May-2020","        188.95","        188.00","        191.90","        184.60","        186.70","        186.35","        187.26","   39013806","          7305887869.25","     222297"
"ITC","EQ","26-May-2020","        186.35","        190.00","        194.95","        187.80","        191.60","        191.70","        191.31","   53235758","         10184300252.55","     315054"
"ITC","EQ","27-May-2020","        191.70","        192.50","        193.90","        186.90","        192.45","        192.15","        190.60","   24546312","          4678558068.80","     150179"
"ITC","EQ","28-May-2020","        192.15","        192.30","        192.90","        189.00","        191.00","        190.65","        190.08","   24579385","          4672098928.35","     132770"
"ITC","EQ","29-May-2020","        190.65","        190.45","        198.00","        189.00","        197.10","        197.35","        195.45","   35836696","          7004204895.70","     204489"
"ITC","EQ","01-Jun-2020","        197.35","        201.00","        205.25","        199.00","        200.50","        200.55","        202.34","   28509025","          5768484154.20","     213104"
"ITC","EQ","02-Jun-2020","        200.55","        201.90","        201.90","        196.70","        198.00","        197.25","        199.21","   22631743","          4508515697.15","     152276"
"ITC","EQ","03-Jun-2020","        197.25","        200.00","        200.90","        195.60","        197.45","        196.70","        198.54","   18979339","          3768208344.15","     125283"
